date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:45:11	645/645	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2016%20Sep%202024%2001:45:11%20GMT	http://ninjaflex.com/robots.txt		(from )
21:45:13	1347/1347	---MCZ	200	added ('OK')	text/html	etag:W/%22543-4a7dd2f6b1300%22	http://ninjaflex.com/	/Users/li/websites/1/ninjaflex.com/index.html	(from )
21:45:15	13188/13188	---M--	200	added ('OK')	image/gif	etag:%223384-4a7cb85830ac0%22	http://ninjaflex.com/big-ninja.gif	/Users/li/websites/1/ninjaflex.com/big-ninja.gif	(from http://ninjaflex.com/)
21:45:16	12189/12189	---M--	200	added ('OK')	image/gif	etag:%222f9d-4a7cb8e831e80%22	http://ninjaflex.com/big-flex.gif	/Users/li/websites/1/ninjaflex.com/big-flex.gif	(from http://ninjaflex.com/)
21:45:17	2079/2079	---M--	200	added ('OK')	image/gif	etag:%2281f-4a7dc6e4c9900%22	http://ninjaflex.com/ajnin.gif	/Users/li/websites/1/ninjaflex.com/ajnin.gif	(from http://ninjaflex.com/)
21:45:18	1916/1916	---M--	200	added ('OK')	image/gif	etag:%2277c-4a7dc6f6e83c0%22	http://ninjaflex.com/xelf.gif	/Users/li/websites/1/ninjaflex.com/xelf.gif	(from http://ninjaflex.com/)
21:45:18	91556/91556	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.6.2/jquery.min.js	/Users/li/websites/1/ajax.googleapis.com/ajax/libs/jquery/1.6.2/jquery.min.js	(from http://ninjaflex.com/)
21:45:19	14856/14856	---M--	200	added ('OK')	audio/mpeg	etag:%223a08-4a7dd2454f080%22	http://ninjaflex.com/ninjaa.mp3	/Users/li/websites/1/ninjaflex.com/ninjaa.mp3	(from http://ninjaflex.com/)
21:45:23	12828/12828	---M--	200	added ('OK')	audio/mpeg	etag:%22321c-4a7dd26e51140%22	http://ninjaflex.com/fleex.mp3	/Users/li/websites/1/ninjaflex.com/fleex.mp3	(from http://ninjaflex.com/)
21:45:41	165644/165644	---M--	200	added ('OK')	audio/x-wav	etag:%222870c-4a7dd2ea4b5c0%22	http://ninjaflex.com/ninjaa.wav	/Users/li/websites/1/ninjaflex.com/ninjaa.wav	(from http://ninjaflex.com/)
21:45:43	135692/135692	---M--	200	added ('OK')	audio/x-wav	etag:%222120c-4a7dd2834c2c0%22	http://ninjaflex.com/fleex.wav	/Users/li/websites/1/ninjaflex.com/fleex.wav	(from http://ninjaflex.com/)
